recipe_title,servings,meal,calories,carbs,protein,fat,ingredients,instructions
Honey Glazed Pork Tenderloin,1,dinner,630,85,50,12,180 g pork tenderloin; 300 g potatoes; 50 g onion; 250 g zucchini; 1 g garlic powder; 1 g onion powder; 20 g soy sauce; 15 g honey; 5 g balsamic vinegar; 1 g creme; 1 g cornstarch; 7 g oil; to taste salt; to taste black pepper,"Preheat the oven to 180 C or 350 F. Trim the pork and season it thoroughly with salt. Fry it in a hot pan for 90 seconds on each side. Then transfer it to a baking sheet and bake in the oven for 14 minutes. | Meanwhile, peel and cut the potatoes into bite-sized cubes. Microwave them in a container for 5 minutes at 600W. Chop the onion and zucchini. | Add oil to a pan (24cm/9.5 inch) on medium heat. Add the microwaved potatoes with a pinch of salt and fry them for 5 minutes, stirring occasionally. | Then add another bit of oil and add the vegetables with a pinch of salt, black pepper, garlic powder, and onion powder. Keep frying everything for another 3-4 minutes. | Remove the meat from the oven and let it rest for 3-4 minutes. Meanwhile, combine soy sauce, balsamic vinegar, honey, and cornstarch in a glass. Add it to the pan and mix until it thickens, about 30 seconds. | Slice the meat into thick slices, top with the vegetables, and serve."
Chicken Poke Bowl,1,lunch,769,90,55,22,180 g chicken breast; 60 g raw rice; 60 g avocado; 100 g canned pineapple; 50 g peas; 100 g carrots; 4 g garlic powder; 4 g oil; 1 serving pb & soy sauce; to taste salt; to taste black pepper,"Add rice with water in a pot (18cm or 7 inch diameter) with a pinch of salt. Place it on a stove on high heat. As soon as the water starts to boil, reduce the heat to low, close the lid and let it simmer for 12-15 minutes. | Prepare the pb & soy sauce. | Cut the chicken breast into bite-sized pieces and season with salt, black pepper, and garlic powder. Dice the carrots, avocado, and pineapple into bite-sized pieces. | Preheat a pan (24cm or 9.5 inch) over medium-high heat and add oil. Fry the chicken pieces on one side for about 1 minute, then flip and cook for an additional minute. Remove from pan. If using frozen peas, fry them in the same pan for 1 minute. | To serve, add rice to a bowl. Top with the prepared fruit, vegetables, and chicken. Finish with a drizzle of the PB & soy sauce mixture."
Lime Cheesecake,4,dinner,220,11,20,10,340 g cream cheese; 340 g skyr or 0.2% fat greek yogurt; 2 egg; 30 g all purpose flour; 50 g sweetener; 4 lime zest; 1/2 lime lime juice,"Pre heat the oven to 160°C or 320°F. | Place a bowl on a scale, add all the ingredients, and whisk until smooth. | Line a 12 x 18 cm (5 x 7 inch) baking dish with parchment paper. | Transfer the mixture into the baking dish and bake for 45-50 minutes. | Once the cake is done, remove it from the oven and let it cool for about 15 minutes. Then refrigerate it for at least 4 hours, or overnight for best results."
Lomo Saltado,1,dinner,576,85,44,7,150 g lean cut beef (sirloin); 300 g potatoes; 150 g red bell pepper; 40 g Jalapeno; 50 g medium onion; 100 g carrot; 150 g tomatoes; 2 cloves of garlic; 25 g soy sauce; 2 g oil; to taste Salt and black pepper,"Start with the washing and marinating first if you choose to do it. Otherwise, just cut the meat into strips. | Clean the potatoes with cold water, do not peel them. Cut the potatoes into fries. Add them to a baking dish, add oil, and a pinch of salt and mix everything with your hands. | Bake the potatoes for 30 min at 200°C or 400°F. Flip them halfway through with a spatula. You can also use an air fryer for the potatoes. | Chop up all vegetables into equal bite-size pieces. Peel and grate the garlic. | Add the beef to a pan on medium-high heat. If you don’t marinate the beef, add a bit of oil to the pan. | Fry the meat for 60 seconds on both sides until they get color. | Remove the beef, and add all vegetables except the tomatoes into the pan. Fry under occasional stirring for 7-10 minutes on medium heat. | Add in garlic for 15 seconds, then add in the tomatoes. Add black pepper, close the lid, and let the tomatoes simmer for 3 minutes. | Add in the sauce and the beef and cook for 1 more minute. If you haven’t marinated the meat, add a bit of starch slurry (mix 50g cold water with 2g cornstarch). | Put the potatoes on a plate, cover everything with the beef, veggies, and sauce. Top with cilantro or parsley. Serve!"
Italian Creamy Burrito,1,lunch,698,48,52,27,2 wheat tortillas; 200 g ground beef 95/5; 50 g medium onion; 100 g storebought tomato sauce; 30 g laughing cow wedge; 30 g gouda fat reduced; 2 cloves of garlic; 2 g oil; to taste salt; to taste black pepper,"Chop up the onion into small pieces. Peel and grate garlic. | Add oil into the pan (24cm/9.5inch) on medium-high heat. Add the onion and fry for 3 minutes, then add ground beef and fry both for another 1-2 minutes under occasional stirring until beef has some color. Add a pinch of salt and black pepper. | Add in garlic and fry for 20 seconds. | Add tomato sauce and mix everything, so all the meat is red. | Add the laughing cow wedge, turn the heat to medium-low and mix the cheese slowly into the sauce by pressing it down with a spatula for around 1 minute. | Once the sauce is creamy, add in the gouda cheese and melt it in for around 30 seconds. | Add another pan to the stove. Dry cook the tortillas for 30 seconds on each side on medium-high. Add some salt to them. | Assemble burritos by laying half the meat mixture into one tortilla. Roll them like a cigar or fold sides and roll into a burrito shape."
Banana Bread Smoothie,1,breakfast,378,41,28,12,100 g ice cubes; 50 g skimmed milk; 1 banana; 10 g peanut butter; 13 g powdered peanuts; 20 g sweetener; 170 g skyr or 0.2% fat greek yogurt; 1 g cinnamon,Place a mixer on a scale. | Add all ingredients and blend on high for 60 seconds. | Pour everything into a glass and enjoy!
Creamy Mashed Potatoes,1,dinner,254,47,9,4,250 g potatoes; 50 g skimmed milk; 1 Laughing Cow wedge; to taste salt; to taste black pepper,"Clean the potatoes and cut them into smaller pieces. | Put them into a pot of salted water and let them simmer on medium heat for 12-15 minutes. | After the potatoes are soft, drain the water and add them to a bowl. Mash them with a fork until they turn to a smooth consistency. | Add milk and mix until smooth. Add Laughing Cow cheese and the seasoning of your choice, and continue mixing until the cheese is fully incorporated."
Egg White Tortillas,3,lunch,238,28,23,3,100 g skyr or 0.2% fat Greek yogurt; 100 g egg whites; 30 g all purpose flour; 2 g garlic powder; 2 g onion powder; 3 g oil; to taste salt; to taste black pepper,"Place a bowl on a scale. | Add all ingredients into the bowl and whisk until combined and smooth. | Add 1g of oil into a pan (24cm/9.5 inch) on medium heat. | Add 1/3 of batter into the pan and spread it around with a spatula, so a tortilla shape forms. | Close the lid and let it cook for 1 minute. | Flip the tortilla and repeat until the tortilla is baked through. | Repeat with the entire batter. The batter will make about three tortillas."
Crispy Air Fryer Potatoes,1,dinner,211,44,5,2,250 g mealy potatoes; 3 g baking soda; 10 g salt; 2 g oil,"Peel and cut the potatoes into chunks or thick planks. | Add 1000g of water into a pot and bring it up to a boil. Add salt, baking soda and potatoes and let it simmer for 7-10 minutes. The potatoes should start to break down. | Drain the water and add the potatoes into a bowl. Add oil. Shake the bowl roughly, so the potatoes are covered with oil, around 30 seconds. The bottom of the bowl should build a potato slurry. | Air fry the potatoes for 20-25 minutes at 200°C (400°F). Shake the basket every 5-7 minutes, so the potatoes don’t stick. | After air frying, add seasoning like pepper, cayenne, or garlic powder. Done!"
MOJITO SMOOTHIE,1,breakfast,284,14,21,18,100 g ice cubes; 50 g skimmed milk avocado; 170 g skyr or 0.2% fat greek yogurt; 5 g fresh mint; 20 g sweetener; 1 (implied as zest and juice) lime zest lime juice,Place a mixer on a scale. | Add all ingredients and blend on high for 60 seconds. | Pour everything into a glass and enjoy!
Greek Yogurt Power Bowl,1,breakfast,594,64,38,21,300 g Greek yogurt (2% fat); 30 g peanut butter; 1 g banana; 25 g honey,"Cut the banana into slices. | Place a bowl on a scale and add yogurt, then layer the peanut butter and honey on top. Mix everything together. | Top with the banana slices, and it’s ready to enjoy!"
Sweet Chicken Wrap,1,lunch,516,48,44,16,1 wheat tortilla; 180 g chicken breast; 100 g figs or avocado; 15 g mint sauce; 1 g cayenne pepper; 1 g garlic powder; 6 g oil; to taste salt and black pepper,"Slice the chicken into bite-sized pieces. Prepare the mint sauce and store it in a squeeze bottle; it will last in the fridge for up to one week. | Add oil to a 24 cm (9.5-inch) pan over medium-high heat. Add the chicken and fry it for 1 minute on each side. Season with salt, black pepper, garlic powder, and cayenne pepper just before removing it from the pan. | Spread the figs on a tortilla, add 15g of sauce on top, and then layer the cooked chicken. | Roll up the tortilla and place it back in the hot pan, toasting all four sides until crispy and golden brown. Done!"
Udon with Peanut Butter,1,dinner,604,76,57,10,200 g udon noodles; 180 g chicken breast or 180 g; 50 g medium onion; 2 g oil; 20 g soy sauce; 10 g rice vinegar; 10 g mirin; 13 g powdered peanuts; 30 g water,"Chop up the onion and cut the chicken into strips. | Add all sauce ingredients into a small bowl and mix until smooth. | Fill up a pot with water and turn on the heat on high. | Add oil to a pan (24cm/9.5 inch) and fry the chicken on one side for 60 seconds on medium-high. | After a minute, add onion to the pan and flip the chicken. Add a pinch of salt and pepper. Add udon noodles to the boiling water. | Add the sauce to the pan with chicken and stir on medium-low heat until the udon noodles are ready, about 2-3 minutes. | Transfer the udon noodles to a pan and mix everything. Done!"
Apple Bread,8,breakfast,928,94,94,17,120 g peeled apples; 120 g oats; 60 g whey vanilla protein powder; 1 egg; 100 g egg whites; 100 g 1% fat cottage cheese; 30 g sweetener; tsp pinch salt; 3 g or 1.5 g baking powder or baking soda,"Start by grinding the oats up in a blender for 60 seconds until it becomes oat flour. | Place a bowl on a scale. | Add all dry ingredients. Whisk everything until combined. | Add apples with cottage cheese into a blender and mix until smooth, around 30 secs. Add mixture into a separate bowl. | Add egg and egg whites into the bowl with apples and mix. | Transfer wet to dry ingredients. | Whisk again until creamy and smooth. | Place parchment paper into a baking sheet (8x22cm or 3x9 inch). | Transfer batter into baking sheet and bake for 20-25 min at 180 C or 350 F. | After baking remove cake from the baking sheet and let it cool down for 30 min. | Cut and enjoy. The apple bread lasts in the fridge for 2-3 days."
Peanut Butter Beef & Rice,1,dinner,612,64,57,14,50 g raw rice; 125 g water; 180 g ground beef 95/5; 50 g medium onion; 100 g tomatoes; 25 g soy sauce; 18 g powdered peanuts; 10 g rice vinegar; 5 g honey; 1 clove of garlic; 2 g oil; to taste black pepper,"Add rice with water in a pot (18cm or 7inch diameter) with a pinch of salt. Place it on a stove on high heat. As soon the water starts to boil, reduce the heat to low, close the lid and let it simmer for 12-15 minutes. | Dice onion and tomato into small pieces. Peel and grate garlic clove. | Add soy, rice vinegar, honey and powdered peanuts into a glass. Add black pepper and mix until combined. | Add oil to a pan (24cm/9.5inch) on medium heat and add onions. Fry them for 3 minutes until they start caramelizing. | Switch the heat up to medium-high and add in the beef. Fry beef for 1-2 minutes until it starts becoming brown. | Add tomatoes and mix everything. Push down the tomatoes, so they release their juice. About 2 minutes. | Add sauce and stir everything and let it simmer for about 30 seconds. Remove from the heat if this is earlier ready than rice, and close the lid. | Once rice is ready, add it to the pan with the meat and mix everything. Done!"
Creamy Buffalo Chicken,1,dinner,346,18,44,13,1 chicken breast; 180 g red bell pepper; 50 g medium onion; 40 g Laughing Cow wedge; 5 g hot sauce (Franks); 2 g honey; 2 g cornstarch; 20 g water; 2 g garlic powder; 1 g cumin; 4 g oil; to taste Salt; to taste black pepper,"Cut the chicken breast into bite-size cubes. | Add hot sauce, honey, water and cornstarch into a small glass and combine until smooth. | Dice the onion. Cut the pepper into strips, turn it and cut it into bite-size cubes. | Add oil to a pan (24cm/9.5 inch) on medium heat. Add the onion and vegetables and fry them under occasional stirring for 3-4 minutes until soft and caramelized. | Push the veggies to the side of the pan. Add a spray of oil and add in the chicken. Try to separate the chicken cubes with a spatula, so it gets in contact with the pan. Add cumin, garlic powder and black pepper. Fry the chicken for 2-3 minutes under occasional stirring until done. | Add in sauce and laughing cow wedge. Mix the wedge with a spatula by pressing it down, so it incorporates into the sauce, 1 more minute. Done!"
Nootella,2,dinner,264,21,34,5,15 g casein vanilla protein powder; 26 g powdered peanuts; 5 g cocoa powder; 50 g skyr or 0.2% fat greek yogurt; 100 g skimmed milk,Place a small container on a scale. | Add all dry ingredients and mix until combined. | Add Skyr and milk and mix once again until nice and smooth. | The recipe will last in the fridge for around 2-3 days.
Boston Cream Donuts,6,dinner,201,22,19,4,30 g all purpose flour; 60 g oats; 15 g whey vanilla protein powder; 15 g casein vanilla protein powder; 25 g sweetener; 50 g egg whites; 100 g milk; 50 g skyr or 0.2% fat greek yogurt; 1 egg; Pinch salt;  tsp or 3 g or 1.5 g baking powder or baking soda; 40 g instant vanilla pudding powder; 30 g casein vanilla protein powder; 250 g milk (for filling); 10 g cocoa powder; 20 g casein vanilla protein powder (for frosting); 100 g milk (for frosting),"Start by grinding the oats in a blender for about 60 seconds until they become oat flour. | Place a bowl on a scale and add all the dry ingredients. Then, use a second bowl on the scale to combine all the wet ingredients, mixing well until they are thoroughly combined. | Gradually add the wet ingredients to the dry ones, whisking slowly until the mixture is nice and smooth. Add a small splash of water if the mixture is too thick. | Transfer the batter into six ramekins (each 8cm/3 inches) and bake at 160°C (320°F) for 16-20 minutes. | In a separate bowl, mix instant pudding mix with milk and whisk using an electric mixer until thick. Then, add casein and continue mixing until the mixture becomes even thicker. | In another bowl, combine all the frosting ingredients and mix well. | Once the donuts are baked, remove them from the ramekins and cut them in half. Create a small crater in each half. Fill all the donuts with the filling and top them with frosting."
Light Banana Bread,4,dinner,638,86,53,8,40 g all purpose flour; 20 g oats; 15 g whey vanilla protein powder; 15 g casein vanilla protein powder; 100 g egg whites; 100 g skyr or 0.2% fat greek yogurt; 125 g medium banana or lemon (juice); 15 g chocolate chips; pinch salt; 3 g or 1.5 g baking powder or baking soda,"1. Grind the oats in a blender for around 60 seconds or until it becomes oat flour. | 2. Place a bowl on the scale. | 3. Add all dry ingredients. Whisk everything for 10-15 seconds. | 4. Place a second bowl on the scale. | 5. Smash the banana in the second bowl with a fork until it becomes mush. Add the lemon juice to the banana and mix. | 6. Add all wet ingredients to the second bowl and mix well until combined. | 7. Add the wet ingredients to the dry ingredients and slowly whisk until smooth. Add a small splash of water if it sticks. | 8. Place parchment paper into a baking sheet (12x18cm or 5x7inch). Transfer the batter onto the baking sheet and bake for 30-35 min at 180°C or 350°F. | 9. After baking, remove the cake from the baking sheet and let it cool down for 30 min. | 10. Slice and enjoy. The banana bread lasts in the fridge for 2-3 days."
Pesto on chicken with potatoes,1,lunch,583,52,53,21,1 serving pesto; 125 g water; 180 g chicken breast; 50 g medium onion; 250 g potatoes; 6 g oil; to taste Salt; to taste black pepper,"Peel and cut the potatoes into thick slices, then into fries and then again into bite-size cubes (2x2cm or 1x1 inch). | Microwave the potatoes in a bowl for 5 minutes at 600W. | Prepare 1 serving of pesto. Dice the onion and cut the chicken breast into equally sized pieces. | Add oil to a pan over medium heat and add the microwaved potatoes with a pinch of salt. Fry for 5 minutes until slightly golden brown. | Add another drizzle of oil, add the onion with a small pinch of salt and black pepper. Fry for 2-3 minutes, then add the chicken. Fry the chicken for 2 minutes on each side without overcooking, stirring occasionally. | Spread the pesto as the bottom layer on a plate, then place the chicken, potatoes, and onion on top."
Caprese Chicken,1,dinner,378,15,53,14,180 g chicken breast; 50 g medium onion; 1 clove of garlic; 200 g tomatoes; 60 g fresh light mozzarella; 100 g water; 4 g oil; 5 g fresh basil; 0.5 g oregano; to taste Salt and black pepper,"Flatten the chicken breast evenly with something heavy and optionally dry brine it. | Dice the onion. Peel and grate garlic. Chop up tomatoes. Cut mozzarella into strips. | Heat up a pan to medium-high heat and add 2g of oil. Add in the chicken breast. Fry it for 2-3 minutes on each side until almost cooked through. | Remove the chicken. Add another touch of oil, switch the heat to medium and add in the onion. Fry for 3 minutes until they start to caramelize. | Add in the garlic. Fry for 20 seconds. | Add water and tomatoes. Season with salt, pepper, and oregano. Mix everything, cover, and simmer for 5-6 minutes. | Add the chicken back, top with mozzarella cheese, cover, and simmer for 30-45 seconds until cheese melts. Top with fresh basil."
Cheeseburger Burrito,1,lunch,593,43,46,27,1 wheat tortillas; 180 g ground beef 95/5; 50 g medium onion; 15 g romaine lettuce; 25 g tomatoes; 1 slice american cheese; 15 g light mayo; 15 g sriracha; 1 g garlic powder; 4 g oil; to taste salt; to taste black pepper,"Chop the onion, lettuce, and tomatoes, and combine them in a small bowl with light mayonnaise and sriracha. | Add oil to a 24 cm (9.5 inch) pan over medium-high heat. Add the chopped onion along with a pinch of salt and fry for 3 minutes. | Push the onions to one side of the pan, add a bit more oil, and then add the ground beef. Cover it with parchment paper and press it flat using a spatula and something heavy, like a bottle. | Season the meat with salt, black pepper, and garlic powder, then flip after 1 minute. Cook for another minute, then break up the meat and mix everything together. | Tear the cheese into small pieces, add them to the pan, and wait until they melt. | Place a tortilla on a sheet of parchment paper. Add the lettuce, tomatoes, and sauce, then top with the cheesy beef and roll it into a burrito. | Return the burrito to the pan with a tiny bit of oil and toast on all sides until golden brown. Sprinkle a little salt on the outside for extra flavor. | Eat immediately, or wrap it tightly in parchment paper and store in the fridge or freezer."
Creamy PB Udon Noodles,1,dinner,703,64,55,23,200 g udon noodles; 180 g ground beef 95/5; 150 g pak choi; 50 g medium onion; 1 g cumin; 1 g garlic powder; 5 g oil; to taste salt; to taste black pepper; 20 g light mayo; 5 g honey; 10 g peanut butter,"Chop the onion and pak choi. Add all the sauce ingredients into a small bowl and mix until smooth. | Fill a pot with water and turn the heat to high. As soon as the water starts to boil, add the noodles, give them a gentle shake, and let them cook for 3 minutes. Then drain the water and let the noodles sit in the sink. | Add oil to a pan (24 cm/9.5 inches) and fry the vegetables with a pinch of salt for 3 minutes. | Push the vegetables to the side, add a bit more oil, and add the beef. Try to separate the beef with a spatula for maximum browning. | Add the seasonings and flip the meat. After 1 minute, give everything a good stir and add the noodles. | Remove the pan from the heat, add the sauce, and give everything a final stir. Done!"
Potato Hash,1,breakfast,615,58,45,24,250 g potatoes; 50 g onion; 100 g deli meat; 3 eggs; 25 g soy sauce; 5 g fresh parsley; 7 g oil; 1 g chili powder; to taste black pepper,"Start by cleaning and washing the potatoes, I don t peel them, but you can if you don t like the skin. | Cut the potatoes into thick slices, then into fries and then again into bite-size cubes (2x2cm or 1x1 inch). | Microwave the potatoes in a bowl for 5 minutes at 600W. | Dice the onion and cut the deli meat into cubes. | Place a pan on the stove on medium-high heat. Add 5g of oil into a pan and add in the potatoes. | Fry them for around 3-4 minutes under occasional stirring until they have some color. | Add the onions and deli meat with another spray of oil. Keep frying under occasional stirring for a further 3-4 minutes. | Make three holes in the potato mixture to make space for the eggs. Add a bit of oil into every hole, and then switch the heat to medium and crack in the eggs. | Add pepper, and chili powder over everything. | Add soy sauce around the edges (not on top of the eggs) and immediately close the lid to trap the steam. Cook until the eggs are done, 2-3 more minutes. | Top with parsley or cilantro. Done!"
Greek Yogurt Cake,4,breakfast,742,73,55,24,90 g oatflour; 40 g sweetener; 300 g skyr or 0.2% fat greek yogurt; 100 g egg whites; 25 g butter; 10 g vanilla extract; 1 orange; 100 g blueberries;  tsp (approx. 3 g) baking powder;  tsp (approx. 1.5 g) baking soda,"Place a bowl on a scale. Add the oat flour, sweetener, baking powder, and baking soda, and mix. | Melt the butter (in a microwave or in a pot on the stove) for about 30 seconds. Preheat the oven to 180°C (350°F). | In a separate bowl, combine the skyr, egg whites, melted butter, vanilla extract, orange zest, and blueberries. Mix well. | Add the wet ingredients to the dry ingredients and stir until smooth. | Line a baking dish (18x12 cm or 7x5 inches) with parchment paper, then transfer the batter. Bake for 40 minutes. | Let the cake cool for about 30 minutes before serving."
Honey Garlic Chicken,1,lunch,582,66,49,13,180 g chicken breast; 125 g instant rice; 200 g zucchini; 50 g onion; 2 garlic cloves; 20 g soy sauce; 15 g honey; 5 g balsamic vinegar; 1 g cornstarch; 1 g garlic powder; 0.5 g chili powder; 4 g oil; to taste black pepper; to taste chili flakes,"1. Cut chicken into thin strips, add chili powder, garlic powder, and black pepper on top and mix. Dice the zucchini and the onion. Peel and grate the garlic. | 2. Combine soy sauce, honey, balsamic vinegar, black pepper, chili flakes, and cornstarch in a bowl. Mix until combined. | 3. Add oil to a pan on medium heat, add the zucchini with a pinch of salt, and fry for 2 minutes. | 4. Add more oil and the onions, fry for another 2 minutes. | 5. Push the vegetables aside, add more oil, and cook the chicken, separating it with a spatula. | 6. After 1 minute, flip the chicken and fry the other side for another minute. Add more oil, then minced garlic, and fry for 15 seconds. | 7. Add instant rice with the sauce, and cook for 30 seconds until rice is hot. Serve."
Creamy Cauliflower and Potato Mash,3,dinner,428,73,24,5,250 g cauliflower; 250 g potatoes; 100 g 0.2% fat cream cheese; 100 g skimmed milk; 50 g onion; 2 cloves garlic; 2 g oil; to taste salt; to taste black pepper; to taste dried rosemary; to taste dried thyme,"Cut the cauliflower into florets. Cut the potatoes into the same-sized pieces as cauliflower. | Peel and dice the garlic and onions. | Add cauliflower and potatoes to a pot with 2000g of water with a strong pinch of salt. | Let it simmer for 20 minutes until they are soft. | Add oil to a pan on medium heat. Add in onions and let them fry for 5-6 minutes until caramelized. | Add garlic and fry for 20 more seconds. | Rinse potatoes and cauliflower and add them into a food processor without any of the water. | Add to food processor: black pepper, dried rosemary and thyme, cream cheese, skimmed milk, and the fried onions and garlic. | Blend everything for 30-60 seconds until smooth and creamy."
Carrot Cake Overnight Oats,1,breakfast,415,45,35,8,50 g oats; 15 g casein vanilla protein powder; 150 g skyr or 0.2% fat greek yogurt; 50 g shredded carrots; 10 g chia seeds; 5 g vanilla extract; 100 g water; to taste Pinch salt,"Place a bowl on your scale. | Add all ingredients to the bowl. If you can't find shredded carrots, grate 1 carrot with a box grater. | Mix everything until smooth. | Refrigerate overnight. | You're done!"
Pina Colada Overnight Oats,1,breakfast,526,64,34,14,50 g oats; 15 g casein vanilla protein powder; 150 g skyr or 0.2% fat Greek yogurt; 150 g canned pineapple; 15 g grated coconut; 10 g honey; 100 g water; pinch pinch salt,Place a bowl on your scale. | Chop up pineapple into small pieces. | Add all ingredients to the bowl. | Mix everything until smooth. | Refrigerate overnight. | You are done!
Naan Bread,1,dinner,228,40,12,1,50 g all purpose flour; 60 g skyr or 0.2% fat greek yogurt; 3 g baking powder; 1 g garlic powder; 1 g onion powder; 2 g oil; to taste salt; to taste black pepper,"Place a bowl on a scale. | Add all ingredients and combine with your hands for around 60 seconds until it forms a dough ball. | Let the dough rest in the bowl for 15 minutes. | Add oil into a nonstick pan (24cm/9.5 inch). Do not turn on the heat yet. Add the dough ball into the pan. | Press the ball down and shape the edges slowly until it forms a flat round bread, approximately 24cm or 9.5 inches in diameter. | Switch the heat to medium and cook on both sides for 3-4 minutes, flipping occasionally until both sides are golden brown."
Pumpkin Pancakes,1,breakfast,367,35,38,9,30 g all purpose flour; 30 g whey vanilla protein powder; 100 g pumpkin puree; 1 egg; 50 g egg whites; 10 g sweetener; 3 g cinnamon; 1 g ginger; 0.5 g nutmeg; 3 g baking powder; 2 g oil; pinch salt,"Start by preheating a pan to medium heat and adding oil. | Add all dry ingredients to a bowl and whisk until combined. | Add the wet ingredients and whisk again until smooth. | Add 2 servings of batter to the pan and close the lid. | Cook for 2-3 minutes until bubbles form on top, then flip and cook for another 2 minutes. | Repeat to make about 4-5 medium-sized pancakes."
BIBIMBAP,1,lunch,544,69,51,10,180 g chicken breast; 150 g pak choi or red bell pepper; 100 g carrot; 50 g medium onion; 50 g raw rice; 6 g oil; 15 g gochujang; 15 g soy sauce; 10 g rice vinegar; optional black pepper; optional grated garlic; optional fresh ginger,"Start by adding rice and 125g of water to a pot with a pinch of salt. | Put the stove on high heat, and as soon as the water starts to boil, turn the heat down to low, close the lid and let it simmer for 12-15 min. | In the meantime, chop up all the vegetables into equal bite-sized pieces. | Cut chicken breast into strips. | Add all sauce ingredients to a glass and mix until combined, this should take 20 seconds. | Put a pan (28cm or 11 inch) on the stove on medium heat and add in 6g of oil. Add in all the vegetables, salt and pepper and fry them for 7-8 min until caramelized. | Push the veggies to the side to make space for the chicken. Add in 2g of oil and fry the chicken on both sides for 60-90 seconds until done. | Add rice as a layer in a bowl. The chicken goes into the middle on top of the rice and the vegetables around the chicken. Drizzle the sauce on everything. Done!"
Yogurt Power Bowl,1,breakfast,352,35,34,11,300 g skyr or 0.2% fat greek yogurt; 50 g blueberries; 100 g strawberries; 10 g honey; 15 g walnuts,"Cut the strawberries into bite-size pieces. | Place a bowl on a scale and add yogurt, then berries and honey on top. Mix everything together. | Chop up the walnuts or break them with your hands and sprinkle on top of your yogurt bowl."
Savory Filled Crepe,1,breakfast,480,44,37,15,50 g all purpose flour; 100 g skimmed milk; 1 egg; 60 g fresh mozzarella light; 60 g deli meat; 2 g oil; to taste Salt and black pepper,"Place a bowl on a scale. Preheat a pan (24cm or 8.5 inch) on medium heat. | Cut the Mozzarella and deli meat into small cubes. | Add flour, egg, milk and salt to a bowl and whisk until smooth. Alternatively, add everything to a blender and mix for 15 seconds. | Add oil to the pan. | Add 1/3 of the batter and tilt the pan around until the batter forms a round shape. | Let the batter cook for 60-90 seconds or until the batter is set. | Flip it every 60 seconds until you have a light golden brown color, about 2-3 minutes in total. | As soon as you flip, add 1/3 of the cheese and deli meat into the crepe and fold one side over the other to resemble a Quesadilla. | Continue to cook and flip 1 more time until the cheese starts melting nicely. You're done. | Repeat with the rest of the batter. It makes 3 filled crepes."
Spicy Udon Noodles,1,dinner,663,69,52,21,200 g udon noodles; 180 g ground beef 95/5; 150 g pak choi; 50 g medium onion; 1 g cumin; 1 g garlic powder; 5 g oil; to taste salt; to taste black pepper; 20 g light mayo; 5 g honey; 10 g gochujang,"Chop the onion and pak choi. Add all the sauce ingredients into a small bowl and mix until smooth. | Fill a pot with water and turn the heat to high. As soon as the water starts to boil, add the noodles, give them a gentle shake, and let them cook for 3 minutes. Then drain the water and let the noodles sit in the sink. | Add oil to a pan (24 cm/9.5 inches) and fry the vegetables with a pinch of salt for 3 minutes. | Push the vegetables to the side, add a bit more oil, and add the beef. Try to separate the beef with a spatula for maximum browning. | Add the seasonings and flip the meat. After 1 minute, give everything a good stir and add the noodles. | Remove the pan from the heat, add the sauce, and give everything a final stir. Done!"
Cheesy Beef Burrito,1,lunch,517,41,42,22,1 wheat tortillas; 100 g ground beef 95/5; 25 g medium onion; 75 g cottage cheese; 25 g evaporated milk; 25 g cheddar; 5 g gochujang; 1 g garlic powder; 1 g onion powder; 0.5 g cayenne pepper; 0.5 g paprika; 4 g oil; to taste salt; to taste black pepper,"Place a blender on the scale and add cottage cheese, evaporated milk, cheddar cheese, gochujang, garlic powder, onion powder, paprika, cayenne pepper, and a pinch of salt and black pepper. Blend for 60 seconds. | Chop up the onion. | Add oil to a 24 cm (9.5 inch) pan over medium-high heat. Add the onion and fry for 3 minutes, then add the ground beef. Continue frying both for another 1-2 minutes, stirring occasionally, until the beef gets some color. Add a pinch of salt and black pepper. | Remove the pan from the heat and stir in the cheese sauce for about 1 minute until it becomes creamy. | Transfer the mixture to a tortilla and roll it into a burrito shape. Place the burrito back in the pan and toast on all 4 sides for 30 seconds each."
Air Fryer Chicken Nuggets,1,dinner,351,25,45,9,180 g chicken breast; 5 g flour; 30 g egg whites; 25 g cornflakes; 1 g cayenne pepper; 1 g smoked paprika; to taste salt and black pepper,"Start by dry-brining the chicken as described in the chapter How to Cook a Juicy Chicken Breast. | After brining, cut the chicken into nuggets. The size of the nuggets will dictate the baking time, with thicker nuggets needing longer in the air fryer or oven. | To create the breading, add cornflakes to a ziplock bag and crush them into a rough powder using a heavy pot. | Set up three separate bowls containing flour, egg whites, and crushed cornflakes. Dip each piece of chicken into the bowls in that order, making sure that each piece is fully coated with breading. | Place the chicken into the air fryer basket and spray some oil on top. Flip the chicken and add another spritz of oil. | Set the air fryer to 200°C (400°F) and cook for 8-12 minutes. Use a food thermometer to ensure that the internal temperature of the chicken reaches 74°C (165°F) to be safe."
